code,date,value
ATRCT,1/8/2009,0
AVBLS,1/8/2009,0.0002
BCDDC,1/8/2009,0
BCDDE,1/8/2009,0
BCDDM,1/8/2009,0
BCDDW,1/8/2009,0
BCDDY,1/8/2009,0
BLCHS,1/8/2009,0
CPTRA,1/8/2009,0
CPTRV,1/8/2009,0
DIFF,1/8/2009,1
ETRAV,1/8/2009,0
ETRVU,1/8/2009,0
HRATE,1/8/2009,0
MIOPM,1/8/2009,0
MIREV,1/8/2009,0
MKPRU,1/8/2009,0
MKTCP,1/8/2009,0
MWNTD,1/8/2009,0
MWNUS,1/8/2009,2
MWTRV,1/8/2009,0
NADDU,1/8/2009,14
NETDF,1/8/2009,0
NTRAN,1/8/2009,14
NTRAT,1/8/2009,15
NTRBL,1/8/2009,1
NTREP,1/8/2009,14
TOTBC,1/8/2009,750
TOUTV,1/8/2009,700
TRFEE,1/8/2009,0
TRFUS,1/8/2009,0
TRVOU,1/8/2009,0
TVTVR,1/8/2009,0
ATRCT,1/9/2009,0
AVBLS,1/9/2009,0.0002
BCDDC,1/9/2009,0
BCDDE,1/9/2009,0
BCDDM,1/9/2009,0
BCDDW,1/9/2009,0
BCDDY,1/9/2009,0
BLCHS,1/9/2009,0
CPTRA,1/9/2009,0
CPTRV,1/9/2009,0
DIFF,1/9/2009,1
ETRAV,1/9/2009,0
ETRVU,1/9/2009,0
HRATE,1/9/2009,0
MIOPM,1/9/2009,-2147483648
MIREV,1/9/2009,0
MKPRU,1/9/2009,0
MKTCP,1/9/2009,0
MWNTD,1/9/2009,0
MWNUS,1/9/2009,2
MWTRV,1/9/2009,0
NADDU,1/9/2009,31
NETDF,1/9/2009,0
NTRAN,1/9/2009,31
NTRAT,1/9/2009,46
NTRBL,1/9/2009,1
NTREP,1/9/2009,14
TOTBC,1/9/2009,2300
TOUTV,1/9/2009,700
TRFEE,1/9/2009,0
TRFUS,1/9/2009,0
TRVOU,1/9/2009,0
TVTVR,1/9/2009,0
ATRCT,1/10/2009,0
AVBLS,1/10/2009,0.0002
BCDDC,1/10/2009,0
BCDDE,1/10/2009,0
BCDDM,1/10/2009,0
BCDDW,1/10/2009,0
BCDDY,1/10/2009,0
BLCHS,1/10/2009,0
CPTRA,1/10/2009,0
CPTRV,1/10/2009,0
DIFF,1/10/2009,1
ETRAV,1/10/2009,0
ETRVU,1/10/2009,0
HRATE,1/10/2009,0
MIOPM,1/10/2009,-2147483648
MIREV,1/10/2009,0
MKPRU,1/10/2009,0
MKTCP,1/10/2009,0
MWNTD,1/10/2009,0
MWNUS,1/10/2009,2
MWTRV,1/10/2009,0
NADDU,1/10/2009,106
NETDF,1/10/2009,0
NTRAN,1/10/2009,106
NTRAT,1/10/2009,152
NTRBL,1/10/2009,1
NTREP,1/10/2009,106
TOTBC,1/10/2009,7600
TOUTV,1/10/2009,5300
TRFEE,1/10/2009,0
TRFUS,1/10/2009,0
TRVOU,1/10/2009,0
TVTVR,1/10/2009,0
ATRCT,1/11/2009,0
AVBLS,1/11/2009,0.0002
BCDDC,1/11/2009,0
BCDDE,1/11/2009,0
BCDDM,1/11/2009,0
BCDDW,1/11/2009,0
BCDDY,1/11/2009,0
BLCHS,1/11/2009,0.0166
CPTRA,1/11/2009,0
CPTRV,1/11/2009,18541.6667
DIFF,1/11/2009,1
ETRAV,1/11/2009,24
ETRVU,1/11/2009,0
HRATE,1/11/2009,0
MIOPM,1/11/2009,-2147483648
MIREV,1/11/2009,0
MKPRU,1/11/2009,0
MKTCP,1/11/2009,0
MWNTD,1/11/2009,0
MWNUS,1/11/2009,2
MWTRV,1/11/2009,0
NADDU,1/11/2009,93
NETDF,1/11/2009,0
NTRAN,1/11/2009,95
NTRAT,1/11/2009,77
NTRBL,1/11/2009,1
NTREP,1/11/2009,95
TOTBC,1/11/2009,12050
TOUTV,1/11/2009,4601
TRFEE,1/11/2009,0
TRFUS,1/11/2009,0
TRVOU,1/11/2009,0
TVTVR,1/11/2009,0
ATRCT,1/12/2009,0
AVBLS,1/12/2009,0.0002
BCDDC,1/12/2009,153
BCDDE,1/12/2009,153
BCDDM,1/12/2009,0
BCDDW,1/12/2009,0
BCDDY,1/12/2009,0
BLCHS,1/12/2009,0
CPTRA,1/12/2009,0
CPTRV,1/12/2009,57500
DIFF,1/12/2009,1
ETRAV,1/12/2009,10
ETRVU,1/12/2009,0
HRATE,1/12/2009,0
MIOPM,1/12/2009,-2147483648
MIREV,1/12/2009,0
MKPRU,1/12/2009,0
MKTCP,1/12/2009,0
MWNTD,1/12/2009,0
MWNUS,1/12/2009,2
MWTRV,1/12/2009,0
NADDU,1/12/2009,117
NETDF,1/12/2009,0
NTRAN,1/12/2009,116
NTRAT,1/12/2009,363
NTRBL,1/12/2009,1
NTREP,1/12/2009,101
TOTBC,1/12/2009,17800
TOUTV,1/12/2009,4879
TRFEE,1/12/2009,0
TRFUS,1/12/2009,0
TRVOU,1/12/2009,0
TVTVR,1/12/2009,0
ATRCT,1/13/2009,0
